score,TARGET,RISK_BAND
446.0,0,High Risk
416.0,0,High Risk
443.0,0,High Risk
534.0,0,Medium Risk
337.0,0,High Risk
324.0,0,High Risk
438.0,0,High Risk
504.0,0,Medium Risk
503.0,0,Medium Risk
431.0,0,High Risk
506.0,0,Medium Risk
344.0,0,High Risk
432.0,0,High Risk
500.0,0,High Risk
432.0,0,High Risk
424.0,0,High Risk
393.0,0,High Risk
462.0,0,High Risk
441.0,0,High Risk
428.0,0,High Risk
565.0,0,Medium Risk
450.0,0,High Risk
412.0,0,High Risk
576.0,0,Medium Risk
431.0,0,High Risk
458.0,0,High Risk
468.0,0,High Risk
363.0,0,High Risk
480.0,0,High Risk
397.0,0,High Risk
442.0,0,High Risk
385.0,0,High Risk
327.0,0,High Risk
622.0,1,Medium Risk
498.0,0,High Risk
491.0,0,High Risk
437.0,0,High Risk
369.0,0,High Risk
473.0,0,High Risk
456.0,0,High Risk
472.0,0,High Risk
367.0,0,High Risk
511.0,0,Medium Risk
385.0,1,High Risk
533.0,0,Medium Risk
428.0,0,High Risk
432.0,0,High Risk
447.0,0,High Risk
446.0,0,High Risk
438.0,1,High Risk
483.0,1,High Risk
432.0,0,High Risk
469.0,0,High Risk
465.0,0,High Risk
494.0,0,High Risk
414.0,0,High Risk
515.0,0,Medium Risk
472.0,0,High Risk
410.0,0,High Risk
407.0,0,High Risk
417.0,0,High Risk
406.0,0,High Risk
514.0,0,Medium Risk
350.0,1,High Risk
379.0,0,High Risk
574.0,0,Medium Risk
426.0,0,High Risk
388.0,0,High Risk
483.0,0,High Risk
497.0,0,High Risk
389.0,0,High Risk
402.0,1,High Risk
365.0,0,High Risk
445.0,0,High Risk
491.0,0,High Risk
515.0,1,Medium Risk
446.0,0,High Risk
581.0,0,Medium Risk
448.0,0,High Risk
494.0,0,High Risk
397.0,0,High Risk
561.0,0,Medium Risk
307.0,0,High Risk
438.0,0,High Risk
423.0,1,High Risk
455.0,0,High Risk
471.0,0,High Risk
479.0,0,High Risk
396.0,0,High Risk
407.0,0,High Risk
503.0,0,Medium Risk
398.0,0,High Risk
521.0,0,Medium Risk
523.0,0,Medium Risk
454.0,0,High Risk
457.0,0,High Risk
574.0,0,Medium Risk
468.0,0,High Risk
408.0,0,High Risk
395.0,0,High Risk
495.0,0,High Risk
522.0,0,Medium Risk
418.0,0,High Risk
473.0,0,High Risk
527.0,0,Medium Risk
423.0,0,High Risk
389.0,0,High Risk
530.0,0,Medium Risk
315.0,0,High Risk
606.0,0,Medium Risk
536.0,0,Medium Risk
416.0,0,High Risk
375.0,0,High Risk
508.0,0,Medium Risk
461.0,0,High Risk
487.0,0,High Risk
437.0,0,High Risk
437.0,0,High Risk
492.0,0,High Risk
443.0,0,High Risk
515.0,0,Medium Risk
367.0,0,High Risk
428.0,0,High Risk
460.0,0,High Risk
558.0,0,Medium Risk
379.0,0,High Risk
447.0,0,High Risk
469.0,0,High Risk
389.0,0,High Risk
495.0,0,High Risk
466.0,0,High Risk
480.0,0,High Risk
428.0,0,High Risk
498.0,0,High Risk
526.0,0,Medium Risk
477.0,0,High Risk
465.0,0,High Risk
373.0,0,High Risk
405.0,1,High Risk
502.0,0,Medium Risk
427.0,0,High Risk
582.0,0,Medium Risk
392.0,0,High Risk
332.0,1,High Risk
482.0,0,High Risk
501.0,0,Medium Risk
386.0,0,High Risk
372.0,0,High Risk
474.0,0,High Risk
580.0,0,Medium Risk
500.0,0,High Risk
600.0,0,Medium Risk
435.0,0,High Risk
396.0,0,High Risk
395.0,0,High Risk
405.0,0,High Risk
500.0,0,High Risk
506.0,0,Medium Risk
490.0,0,High Risk
408.0,0,High Risk
422.0,0,High Risk
409.0,0,High Risk
355.0,0,High Risk
513.0,0,Medium Risk
402.0,1,High Risk
373.0,0,High Risk
526.0,0,Medium Risk
551.0,0,Medium Risk
389.0,0,High Risk
493.0,0,High Risk
518.0,0,Medium Risk
331.0,0,High Risk
452.0,1,High Risk
478.0,0,High Risk
506.0,0,Medium Risk
522.0,0,Medium Risk
505.0,0,Medium Risk
394.0,1,High Risk
565.0,0,Medium Risk
504.0,0,Medium Risk
573.0,0,Medium Risk
453.0,0,High Risk
321.0,0,High Risk
388.0,0,High Risk
450.0,0,High Risk
417.0,0,High Risk
572.0,1,Medium Risk
465.0,0,High Risk
554.0,0,Medium Risk
521.0,0,Medium Risk
526.0,0,Medium Risk
489.0,1,High Risk
361.0,0,High Risk
404.0,0,High Risk
491.0,0,High Risk
508.0,0,Medium Risk
470.0,0,High Risk
460.0,0,High Risk
453.0,0,High Risk
450.0,0,High Risk
410.0,0,High Risk
348.0,0,High Risk
328.0,0,High Risk
495.0,0,High Risk
448.0,0,High Risk
377.0,0,High Risk
467.0,0,High Risk
521.0,0,Medium Risk
480.0,0,High Risk
457.0,0,High Risk
498.0,0,High Risk
440.0,0,High Risk
407.0,0,High Risk
372.0,0,High Risk
364.0,1,High Risk
402.0,0,High Risk
435.0,0,High Risk
474.0,0,High Risk
463.0,0,High Risk
436.0,0,High Risk
461.0,0,High Risk
324.0,0,High Risk
413.0,0,High Risk
534.0,0,Medium Risk
375.0,0,High Risk
324.0,0,High Risk
483.0,0,High Risk
543.0,0,Medium Risk
403.0,0,High Risk
493.0,0,High Risk
436.0,0,High Risk
430.0,0,High Risk
399.0,0,High Risk
476.0,0,High Risk
355.0,0,High Risk
386.0,0,High Risk
446.0,0,High Risk
420.0,0,High Risk
504.0,0,Medium Risk
510.0,0,Medium Risk
356.0,1,High Risk
346.0,0,High Risk
492.0,0,High Risk
504.0,0,Medium Risk
495.0,0,High Risk
427.0,0,High Risk
454.0,0,High Risk
465.0,0,High Risk
447.0,0,High Risk
378.0,0,High Risk
452.0,0,High Risk
477.0,0,High Risk
320.0,0,High Risk
471.0,0,High Risk
508.0,0,Medium Risk
451.0,0,High Risk
394.0,1,High Risk
424.0,0,High Risk
554.0,0,Medium Risk
395.0,0,High Risk
486.0,0,High Risk
496.0,0,High Risk
450.0,0,High Risk
466.0,0,High Risk
440.0,0,High Risk
521.0,0,Medium Risk
485.0,1,High Risk
470.0,0,High Risk
430.0,1,High Risk
357.0,0,High Risk
465.0,0,High Risk
406.0,0,High Risk
356.0,0,High Risk
345.0,0,High Risk
477.0,0,High Risk
420.0,0,High Risk
493.0,0,High Risk
389.0,1,High Risk
405.0,0,High Risk
504.0,0,Medium Risk
443.0,0,High Risk
436.0,0,High Risk
393.0,1,High Risk
443.0,0,High Risk
479.0,0,High Risk
507.0,0,Medium Risk
403.0,0,High Risk
543.0,0,Medium Risk
392.0,1,High Risk
479.0,0,High Risk
485.0,0,High Risk
547.0,0,Medium Risk
558.0,0,Medium Risk
383.0,1,High Risk
455.0,1,High Risk
562.0,0,Medium Risk
542.0,0,Medium Risk
517.0,0,Medium Risk
510.0,0,Medium Risk
486.0,0,High Risk
465.0,0,High Risk
341.0,0,High Risk
444.0,0,High Risk
453.0,0,High Risk
353.0,0,High Risk
358.0,0,High Risk
433.0,0,High Risk
411.0,0,High Risk
487.0,0,High Risk
396.0,0,High Risk
511.0,0,Medium Risk
534.0,0,Medium Risk
497.0,0,High Risk
545.0,0,Medium Risk
417.0,0,High Risk
492.0,0,High Risk
417.0,1,High Risk
538.0,0,Medium Risk
428.0,0,High Risk
529.0,0,Medium Risk
442.0,0,High Risk
520.0,0,Medium Risk
482.0,0,High Risk
322.0,1,High Risk
493.0,0,High Risk
418.0,0,High Risk
390.0,0,High Risk
448.0,0,High Risk
427.0,0,High Risk
329.0,0,High Risk
382.0,0,High Risk
504.0,0,Medium Risk
524.0,0,Medium Risk
421.0,0,High Risk
441.0,0,High Risk
555.0,0,Medium Risk
370.0,0,High Risk
521.0,0,Medium Risk
515.0,0,Medium Risk
533.0,0,Medium Risk
473.0,0,High Risk
393.0,1,High Risk
381.0,0,High Risk
433.0,0,High Risk
488.0,0,High Risk
500.0,0,High Risk
471.0,0,High Risk
459.0,0,High Risk
448.0,0,High Risk
329.0,0,High Risk
544.0,0,Medium Risk
429.0,0,High Risk
412.0,0,High Risk
329.0,0,High Risk
422.0,0,High Risk
397.0,1,High Risk
439.0,0,High Risk
412.0,0,High Risk
423.0,0,High Risk
326.0,1,High Risk
356.0,1,High Risk
283.0,1,High Risk
401.0,1,High Risk
475.0,1,High Risk
312.0,0,High Risk
337.0,0,High Risk
351.0,0,High Risk
416.0,0,High Risk
435.0,0,High Risk
416.0,0,High Risk
472.0,0,High Risk
509.0,1,Medium Risk
510.0,0,Medium Risk
444.0,0,High Risk
324.0,0,High Risk
554.0,0,Medium Risk
457.0,0,High Risk
355.0,0,High Risk
417.0,0,High Risk
482.0,0,High Risk
342.0,0,High Risk
530.0,0,Medium Risk
519.0,0,Medium Risk
550.0,0,Medium Risk
463.0,0,High Risk
461.0,0,High Risk
413.0,0,High Risk
521.0,0,Medium Risk
387.0,0,High Risk
393.0,0,High Risk
444.0,0,High Risk
454.0,0,High Risk
302.0,0,High Risk
371.0,0,High Risk
489.0,0,High Risk
463.0,0,High Risk
398.0,0,High Risk
504.0,1,Medium Risk
431.0,0,High Risk
430.0,0,High Risk
506.0,0,Medium Risk
342.0,0,High Risk
420.0,0,High Risk
350.0,0,High Risk
539.0,0,Medium Risk
454.0,0,High Risk
451.0,0,High Risk
490.0,0,High Risk
534.0,0,Medium Risk
386.0,1,High Risk
483.0,0,High Risk
444.0,0,High Risk
425.0,0,High Risk
574.0,0,Medium Risk
427.0,0,High Risk
456.0,0,High Risk
500.0,0,High Risk
437.0,0,High Risk
387.0,0,High Risk
503.0,0,Medium Risk
370.0,0,High Risk
397.0,0,High Risk
456.0,0,High Risk
401.0,1,High Risk
484.0,0,High Risk
425.0,0,High Risk
464.0,0,High Risk
393.0,0,High Risk
355.0,0,High Risk
381.0,0,High Risk
447.0,0,High Risk
459.0,0,High Risk
433.0,0,High Risk
415.0,0,High Risk
426.0,0,High Risk
476.0,0,High Risk
413.0,1,High Risk
557.0,0,Medium Risk
485.0,0,High Risk
483.0,0,High Risk
550.0,0,Medium Risk
421.0,0,High Risk
486.0,0,High Risk
395.0,1,High Risk
480.0,0,High Risk
490.0,0,High Risk
438.0,0,High Risk
435.0,0,High Risk
546.0,1,Medium Risk
